,loss,accuracy,precision,recall,AUC,val_loss,val_accuracy,val_precision,val_recall,val_AUC
0,1.1087777614593506,0.3888888955116272,0.0,0.0,0.5182715654373169,1.0931055545806885,0.36666667461395264,0.0,0.0,0.558055579662323
1,1.0763096809387207,0.3777777850627899,0.0,0.0,0.5833641886711121,1.0759249925613403,0.30000001192092896,0.0,0.0,0.5958333015441895
2,1.035770297050476,0.5222222208976746,1.0,0.03333333507180214,0.6891357898712158,1.0276408195495605,0.5,0.0,0.0,0.7311111092567444
3,0.9485831260681152,0.5333333611488342,1.0,0.1666666716337204,0.795678973197937,1.0178602933883667,0.5,1.0,0.13333334028720856,0.6697221994400024
4,0.8385530114173889,0.7111111283302307,0.9444444179534912,0.3777777850627899,0.8691666126251221,1.122204303741455,0.4000000059604645,0.4736842215061188,0.30000001192092896,0.6305555105209351
5,0.7438459396362305,0.6666666865348816,0.7894737124443054,0.5,0.8592283725738525,0.9303476214408875,0.5,0.6315789222717285,0.4000000059604645,0.7374999523162842
6,0.6653388142585754,0.6777777671813965,0.8153846263885498,0.5888888835906982,0.8841358423233032,1.0031784772872925,0.4333333373069763,0.550000011920929,0.36666667461395264,0.6808333396911621
7,0.5790560245513916,0.7444444298744202,0.921875,0.6555555462837219,0.929351806640625,1.0620701313018799,0.5666666626930237,0.6818181872367859,0.5,0.7063888311386108
8,0.4876197874546051,0.800000011920929,0.8918918967247009,0.7333333492279053,0.9513579607009888,0.7958723902702332,0.6333333253860474,0.7894737124443054,0.5,0.8172222375869751
9,0.5018914341926575,0.8111110925674438,0.835616409778595,0.6777777671813965,0.9352777600288391,0.9028764367103577,0.6000000238418579,0.6190476417541504,0.4333333373069763,0.7674999833106995
10,0.41827866435050964,0.8444444537162781,0.8961039185523987,0.7666666507720947,0.9576234817504883,0.9561216235160828,0.5666666626930237,0.7272727489471436,0.5333333611488342,0.7780555486679077
11,0.334858775138855,0.8999999761581421,0.9350649118423462,0.800000011920929,0.9751234650611877,0.828976035118103,0.6000000238418579,0.7272727489471436,0.5333333611488342,0.8100000023841858
12,0.3335951566696167,0.8999999761581421,0.9487179517745972,0.8222222328186035,0.9781173467636108,1.042985200881958,0.5333333611488342,0.6521739363670349,0.5,0.7486110925674438
13,0.33429986238479614,0.855555534362793,0.9036144614219666,0.8333333134651184,0.9750000238418579,0.8316934704780579,0.6666666865348816,0.7272727489471436,0.5333333611488342,0.8258333206176758
14,0.29086145758628845,0.8777777552604675,0.9390243887901306,0.855555534362793,0.9825617074966431,1.0507928133010864,0.6000000238418579,0.6399999856948853,0.5333333611488342,0.7888888716697693
15,0.2785801887512207,0.8888888955116272,0.9058823585510254,0.855555534362793,0.9804321527481079,0.9261142015457153,0.6333333253860474,0.739130437374115,0.5666666626930237,0.8166666626930237
16,0.28417977690696716,0.9111111164093018,0.9624999761581421,0.855555534362793,0.982654333114624,1.0889438390731812,0.6333333253860474,0.739130437374115,0.5666666626930237,0.7961111068725586
17,0.2624598443508148,0.8888888955116272,0.9166666865348816,0.855555534362793,0.9828086495399475,1.1169902086257935,0.6333333253860474,0.6666666865348816,0.6000000238418579,0.8102778196334839
18,0.2822764813899994,0.8999999761581421,0.9277108311653137,0.855555534362793,0.9792901277542114,1.0945932865142822,0.5666666626930237,0.7083333134651184,0.5666666626930237,0.8041666746139526
19,0.19839096069335938,0.9333333373069763,0.976190447807312,0.9111111164093018,0.9933642148971558,1.1073921918869019,0.6666666865348816,0.8181818127632141,0.6000000238418579,0.8147221803665161
20,0.23520074784755707,0.8999999761581421,0.930232584476471,0.8888888955116272,0.9866975545883179,1.2245290279388428,0.6000000238418579,0.7083333134651184,0.5666666626930237,0.8111110925674438
21,0.18295970559120178,0.9222221970558167,0.932584285736084,0.9222221970558167,0.9925618171691895,1.218138337135315,0.6333333253860474,0.692307710647583,0.6000000238418579,0.8119444251060486
22,0.1512211710214615,0.9444444179534912,0.9655172228813171,0.9333333373069763,0.9947839975357056,1.2949445247650146,0.6333333253860474,0.6666666865348816,0.6000000238418579,0.8013888597488403
23,0.15120050311088562,0.9555555582046509,0.9655172228813171,0.9333333373069763,0.9952161312103271,1.2486205101013184,0.6333333253860474,0.7037037014961243,0.6333333253860474,0.8149999976158142
24,0.1462276726961136,0.9444444179534912,0.9550561904907227,0.9444444179534912,0.9952160716056824,1.317423939704895,0.6333333253860474,0.6666666865348816,0.6000000238418579,0.8141666650772095
25,0.1307484209537506,0.9444444179534912,0.976190447807312,0.9111111164093018,0.9965124130249023,1.4915434122085571,0.6333333253860474,0.6666666865348816,0.6000000238418579,0.8047221302986145
26,0.1432187259197235,0.9333333373069763,0.9655172228813171,0.9333333373069763,0.994938313961029,1.3331928253173828,0.699999988079071,0.7037037014961243,0.6333333253860474,0.8258333206176758
27,0.14672301709651947,0.9666666388511658,0.966292142868042,0.9555555582046509,0.9939814209938049,1.4944660663604736,0.6000000238418579,0.6071428656578064,0.5666666626930237,0.795555591583252
28,0.15077604353427887,0.9333333373069763,0.954023003578186,0.9222221970558167,0.9948457479476929,1.2939258813858032,0.6666666865348816,0.692307710647583,0.6000000238418579,0.830833375453949
29,0.093060702085495,0.9555555582046509,0.977011501789093,0.9444444179534912,0.9981173276901245,1.486192226409912,0.7333333492279053,0.7599999904632568,0.6333333253860474,0.8322222232818604
30,0.10320635885000229,0.9444444179534912,0.9659090638160706,0.9444444179534912,0.9975000619888306,1.3958371877670288,0.7333333492279053,0.7777777910232544,0.699999988079071,0.8305554986000061
31,0.10569467395544052,0.9555555582046509,0.9659090638160706,0.9444444179534912,0.9978086948394775,1.4710379838943481,0.6333333253860474,0.692307710647583,0.6000000238418579,0.815833330154419
32,0.08739128708839417,0.9666666388511658,0.9885057210922241,0.9555555582046509,0.9987962245941162,1.4221395254135132,0.6666666865348816,0.7307692170143127,0.6333333253860474,0.832777738571167
33,0.09762491285800934,0.9777777791023254,0.9777777791023254,0.9777777791023254,0.9978394508361816,1.498615026473999,0.6666666865348816,0.7037037014961243,0.6333333253860474,0.8311110734939575
34,0.09391345083713531,0.9555555582046509,0.966292142868042,0.9555555582046509,0.9983950853347778,1.55455482006073,0.6000000238418579,0.6666666865348816,0.6000000238418579,0.8149999976158142
35,0.0822548195719719,0.9777777791023254,0.9885057210922241,0.9555555582046509,0.9988271594047546,1.5184820890426636,0.6666666865348816,0.6785714030265808,0.6333333253860474,0.8288888335227966
36,0.06944981962442398,0.9777777791023254,0.9887640476226807,0.9777777791023254,0.9992592334747314,1.531598687171936,0.6333333253860474,0.6551724076271057,0.6333333253860474,0.8280555605888367
37,0.07044453173875809,0.9666666388511658,0.9886363744735718,0.9666666388511658,0.9992900490760803,1.7299772500991821,0.5666666626930237,0.6538461446762085,0.5666666626930237,0.79666668176651
38,0.07973691821098328,0.9777777791023254,0.9777777791023254,0.9777777791023254,0.9985184669494629,1.5170475244522095,0.5666666626930237,0.6296296119689941,0.5666666626930237,0.8233333230018616
39,0.09443732351064682,0.9777777791023254,0.9777777791023254,0.9777777791023254,0.9970370531082153,1.9204853773117065,0.6333333253860474,0.6428571343421936,0.6000000238418579,0.8116666078567505
40,0.1366129070520401,0.9555555582046509,0.966292142868042,0.9555555582046509,0.9944753646850586,1.4496339559555054,0.699999988079071,0.7307692170143127,0.6333333253860474,0.8322221636772156
41,0.095396988093853,0.9555555582046509,0.9883720874786377,0.9444444179534912,0.9987037181854248,1.60591459274292,0.699999988079071,0.7692307829856873,0.6666666865348816,0.8427777886390686
